PASILLO,UBICACION,CODIGO,DESCRIPCION,CANTIDAD,FECHA,Index
A,"A1,1",4400699,CAJA CHOCOLATE EN BARILOCHE PREMIUM,"408,0",31/07/2024,1
A,"A1,1",,"",,,2
A,"A1,1",,"",,,3
A,"A1,1",,"",,,4
A,"A1,1",,"",,,5
A,"A1,1",,"",,,6
A,"A1,1",,"",,,7
A,"A1,1",,"",,,8
A,"A1,1",,"",,,9
A,"A1,1",,"",,,10
A,"A1,1",,"",,,11
A,"A1,1",,"",,,12
A,"A1,1",,"",,,13
A,"A1,1",,"",,,14
A,"A1,1",,"",,,15
A,"A1,1",,"",,,16
A,"A1,1",,"",,,17
A,"A1,1",,"",,,18
A,"A1,2",,"",,,19
A,"A1,2",,"",,,20
A,"A1,2",,"",,,21
A,"A1,2",,"",,,22
A,"A1,2",,"",,,23
A,"A1,2",,"",,,24
A,"A1,2",,"",,,25
A,"A1,2",,"",,,26
A,"A1,2",,"",,,27
A,"A1,2",,"",,,28
A,"A1,2",,"",,,29
A,"A1,2",,"",,,30
A,"A1,2",,"",,,31
A,"A1,2",,"",,,32
A,"A1,2",,"",,,33
A,"A1,2",,"",,,34
A,"A1,2",,"",,,35
A,"A1,2",,"",,,36
A,"A1,3",4401596,DPY CHOCOLATE RAMA SEMIAMARGO X 30 GR -NUEVO,"149,0",06/09/2024,37
A,"A1,3",,"",,,38
A,"A1,3",,"",,,39
A,"A1,3",,"",,,40
A,"A1,3",,"",,,41
A,"A1,3",,"",,,42
A,"A1,3",,"",,,43
A,"A1,3",,"",,,44
A,"A1,3",,"",,,45
A,"A1,3",,"",,,46
A,"A1,3",,"",,,47
A,"A1,3",,"",,,48
A,"A1,3",,"",,,49
A,"A1,3",,"",,,50
A,"A1,3",,"",,,51
A,"A1,3",,"",,,52
A,"A1,3",,"",,,53
A,"A1,3",,"",,,54
A,"A1,4",,"",,,55
A,"A1,4",,"",,,56
A,"A1,4",,"",,,57
A,"A1,4",,"",,,58
A,"A1,4",,"",,,59
A,"A1,4",,"",,,60
A,"A1,4",,"",,,61
A,"A1,4",,"",,,62
A,"A1,4",,"",,,63
A,"A1,4",,"",,,64
A,"A1,4",,"",,,65
A,"A1,4",,"",,,66
A,"A1,4",,"",,,67
A,"A1,4",,"",,,68
A,"A1,4",,"",,,69
A,"A1,4",,"",,,70
A,"A1,4",,"",,,71
A,"A1,4",,"",,,72
A,"A1,5",4400635,CAJA BOMBON BCHE 2007 IN 16001,"100,0",23/05/2024,73
A,"A1,5",4102057,CAJA LENTEJA CONFITADA BALLCHOC 500G,"90,0",23/05/2024,74
A,"A1,5",4102011,CAJA 25 TURR PALMESANO 28X100 6001803635,"225,0",23/05/2024,75
A,"A1,5",4400108,CAJA TURRON EN FLOWPACK 100G (IN 16069),"225,0",23/05/2024,76
A,"A1,5",4400110,CAJA TURRON EST BARILOCH 24U (IN 16210),"200,0",23/05/2024,77
A,"A1,5",4400636,CAJA SUBMARINO AGRUPADO IN 16004,"39,0",23/05/2024,78
A,"A1,5",,"",,,79
A,"A1,5",,"",,,80
A,"A1,5",,"",,,81
A,"A1,5",,"",,,82
A,"A1,5",,"",,,83
A,"A1,5",,"",,,84
A,"A1,5",,"",,,85
A,"A1,5",,"",,,86
A,"A1,5",,"",,,87
A,"A1,5",,"",,,88
A,"A1,5",,"",,,89
A,"A1,5",,"",,,90
A,"A1,6",,"",,,91
A,"A1,6",,"",,,92
A,"A1,6",,"",,,93
A,"A1,6",,"",,,94
A,"A1,6",,"",,,95
A,"A1,6",,"",,,96
A,"A1,6",,"",,,97
A,"A1,6",,"",,,98
A,"A1,6",,"",,,99
A,"A1,6",,"",,,100
A,"A1,6",,"",,,101
A,"A1,6",,"",,,102
A,"A1,6",,"",,,103
A,"A1,6",,"",,,104
A,"A1,6",,"",,,105
A,"A1,6",,"",,,106
A,"A1,6",,"",,,107
A,"A1,6",,"",,,108
A,"A1,7",,"",,,109
A,"A1,7",,"",,,110
A,"A1,7",,"",,,111
A,"A1,7",,"",,,112
A,"A1,7",,"",,,113
A,"A1,7",,"",,,114
A,"A1,7",,"",,,115
A,"A1,7",,"",,,116
A,"A1,7",,"",,,117
A,"A1,7",,"",,,118
A,"A1,7",,"",,,119
A,"A1,7",,"",,,120
A,"A1,7",,"",,,121
A,"A1,7",,"",,,122
A,"A1,7",,"",,,123
A,"A1,7",,"",,,124
A,"A1,7",,"",,,125
A,"A1,7",,"",,,126
A,"A1,8",,"",,,127
A,"A1,8",,"",,,128
A,"A1,8",,"",,,129
A,"A1,8",,"",,,130
A,"A1,8",,"",,,131
A,"A1,8",,"",,,132
A,"A1,8",,"",,,133
A,"A1,8",,"",,,134
A,"A1,8",,"",,,135
A,"A1,8",,"",,,136
A,"A1,8",,"",,,137
